pos,word,freq,freq_by_pos,
NNS,differences,11,11,
NNS,crops,11,11,
NNS,forms,11,10,
NNS,colors,11,11,
NNS,bacteria,11,10,
NNS,networks,11,11,
NNS,keyboards,11,11,
NNS,microorganisms,11,10,
NNS,fruits,11,11,
RBP,quickly,11,11,post
VBZ,provides,11,11,
JJR,larger,11,11,
JJ,short,10,10,
JJ,religious,10,10,
JJ,complex,10,10,
JJ,ancient,10,9,
JJ,open,10,8,
JJ,artistic,10,10,
NN,selection,10,10,
NN,snowball,10,9,
NN,production,10,10,
NN,china,10,9,
NN,energy,10,10,
NN,seed,10,10,
NN,product,10,10,
NN,prey,10,9,
NN,byte,10,9,
NN,disk,10,10,
NN,screen,10,9,
NN,problem,10,10,
NN,home,10,10,
NN,sun,10,8,
NN,skull,10,8,
NN,root,10,10,
VBD,sold,10,9,
NNS,areas,10,10,
NNS,tissues,10,9,
NNS,roots,10,10,
NNS,techniques,10,10,
NNS,boys,10,9,
NNS,windows,10,9,
NNS,bytes,10,10,
NNS,languages,10,8,
NNS,features,10,9,
NNS,keys,10,10,
RBA,always,10,10,pre
JJ,difficult,9,9,
JJ,ornamental,9,8,
JJ,available,9,9,
JJ,vascular,9,8,
NN,horse,9,8,
NN,kingdom,9,9,
NN,story,9,9,
NN,magazine,9,9,
NN,union,9,9,
NN,organization,9,9,
NN,card,9,9,
NN,environment,9,9,
NN,state,9,9,
NN,cell,9,8,
NN,ability,9,9,
NN,hair,9,9,
NN,pollen,9,8,
NN,pork,9,9,
NN,money,9,9,
NN,ancestor,9,9,
NN,evidence,9,9,
NN,sequence,9,9,
VBD,wrote,9,9,
NNS,events,9,9,
NNS,books,9,9,
NNS,characteristics,9,9,
NNS,games,9,9,
NNS,universities,9,9,
NNS,parasites,9,9,
NNS,styles,9,9,
NNS,letters,9,9,
NNS,applications,9,9,
NNS,vitamins,9,8,
NNS,hormones,9,9,
NNS,girls,9,9,
JJS,least,9,9,
RBA,never,9,9,pre
VBG,moving,9,8,
WRB,why,9,9,
MD,must,9,9,
MD,might,9,9,
CD,five,9,9,
IN,above,8,8,
JJ,famous,8,8,
JJ,particular,8,8,
JJ,civil,8,8,
JJ,scientific,8,8,
JJ,commercial,8,8,
JJ,useful,8,8,
JJ,separate,8,8,
NN,name,8,8,
NN,character,8,8,
NN,branch,8,7,
NN,source,8,8,
NN,jam,8,8,
NN,field,8,8,
NN,medicine,8,7,
NN,management,8,8,
NN,ground,8,8,
NN,function,8,8,
NN,addition,8,8,
NN,hardware,8,7,
NN,apple,8,8,
NN,protocol,8,8,
NN,transmission,8,8,
NN,signal,8,7,
NN,algorithm,8,8,
NN,antivirus,8,8,
NN,heat,8,8,
NN,floresiensis,8,8,
NN,league,8,8,
NN,yam,8,7,
PRP,themselves,8,8,
VBD,retrieved,8,8,
NNS,men,8,8,
NNS,services,8,8,
NNS,buildings,8,8,
NNS,functions,8,8,
NNS,media,8,8,
NNS,worlds,8,8,
NNS,buttons,8,8,
NNS,minerals,8,8,
NNS,diseases,8,7,
NNS,atoms,8,8,
NNS,ferns,8,7,
VB,choose,8,7,
VBG,computing,8,8,
JJR,easier,8,7,
IN,among,7,7,
JJ,original,7,7,
JJ,little,7,6,
JJ,visual,7,7,
JJ,synthetic,7,7,
JJ,european,7,7,
JJ,german,7,7,
JJ,independent,7,7,
NN,pig,7,7,
NN,poultry,7,7,
NN,death,7,7,
NN,expression,7,7,
NN,earth,7,6,
NN,method,7,7,
NN,sense,7,7,
NN,report,7,7,
NN,cubism,7,7,
NN,activity,7,7,
NN,picture,7,7,
NN,company,7,7,
NN,soil,7,7,
NN,hand,7,7,
NN,unit,7,7,
NN,paper,7,7,
NN,cursor,7,7,
NN,share,7,7,
NN,communication,7,7,
NN,concept,7,7,
NN,baseband,7,6,
NN,reason,7,7,
NN,difference,7,7,
NN,air,7,7,
NN,shape,7,7,
NN,child,7,6,
NN,population,7,7,
NN,chimpanzee,7,6,
NN,member,7,7,
NN,album,7,7,
VBI,begin,0,0,
VBD,saw,7,7,
VBD,discovered,7,7,
VBD,kept,7,7,
VBD,influenced,7,6,
VBD,measured,7,6,
VBD,classified,7,6,
NNS,farmers,7,7,
NNS,days,7,7,
NNS,dogs,7,7,
NNS,beings,7,7,
NNS,elements,7,7,
NNS,movements,7,7,
NNS,images,7,7,
NNS,names,7,7,
NNS,files,7,7,
NNS,tasks,7,7,
NNS,jobs,7,7,
NNS,calories,7,7,
NNS,additives,7,7,
NNS,lakes,7,7,
NNS,parents,7,7,
NNS,ancestors,7,7,
NNS,proteins,7,7,
NNS,traits,7,7,
NNS,cities,7,7,
NNS,classes,7,6,
RBA,once,7,7,pre
VB,kill,7,7,
VBG,taking,7,7,
VBZ,represents,7,7,
VBZ,produces,7,7,
VBZ,helps,7,6,
IN,under,6,6,
IN,near,6,5,
JJ,poor,6,6,
JJ,wrong,6,6,
JJ,ready,6,5,
JJ,necessary,6,6,
JJ,annual,6,6,
JJ,edible,6,6,
JJ,organic,6,6,
JJ,academic,6,6,
JJ,individual,6,5,
JJ,progressive,6,6,
JJ,british,6,6,
JJ,carnivorous,6,6,
JJ,expensive,6,6,
JJ,central,6,6,
JJ,intermediate,6,6,
JJ,normal,6,6,
JJ,wide,6,6,
JJ,reliable,6,6,
JJ,specific,6,6,
JJ,artificial,6,6,
JJ,arithmetic,6,6,
JJ,programmable,6,6,
JJ,easy,6,6,
JJ,whole,6,5,
NN,windmill,6,6,
NN,contact,6,5,
NN,dog,6,6,
NN,farming,6,5,
NN,freedom,6,6,
NN,society,6,6,
NN,experimentation,6,6,
NN,safety,6,6,
NN,degree,6,5,
NN,press,6,6,
NN,potato,6,5,
NN,city,6,6,
NN,subject,6,5,
NN,museum,6,6,
NN,literature,6,6,
NN,era,6,6,
NN,value,6,6,
NN,criticism,6,6,
NN,wood,6,6,
NN,meal,6,6,
NN,electricity,6,6,
NN,symbol,6,6,
NN,button,6,6,
NN,box,6,6,
NN,index,6,6,
NN,result,6,5,
NN,speed,6,5,
NN,analog,6,6,
NN,malware,6,6,
NN,question,6,6,
NN,point,6,5,
NN,analysis,6,6,
NN,medium,6,6,
NN,babbage,6,5,
NN,pattern,6,5,
NN,skeleton,6,5,
NN,flavor,6,5,
NN,regulation,6,6,
NN,nature,6,6,
NN,fact,6,6,
NN,coal,6,6,
NN,gene,6,6,
NN,loaf,6,6,
NN,college,6,6,
NN,movie,6,6,
NN,election,6,6,
NN,schoolmate,6,5,
VBD,took,6,6,
VBD,processed,6,6,
VBD,compared,6,6,
NNS,commandments,6,6,
NNS,horses,6,6,
NNS,goats,6,6,
NNS,results,6,6,
NNS,reasons,6,6,
NNS,effects,6,6,
NNS,biologists,6,6,
NNS,objects,6,6,
NNS,bands,6,6,
NNS,pictures,6,5,
NNS,enzymes,6,6,
NNS,hands,6,6,
NNS,sequences,6,6,
NNS,questions,6,6,
NNS,conditions,6,6,
NNS,documents,6,6,
NNS,critics,6,6,
NNS,restaurants,6,6,
NNS,oils,6,6,
NNS,carbohydrates,6,6,
NNS,religions,6,6,
NNS,skills,6,6,
NNS,adults,6,6,
NNS,brains,6,6,
NNS,genes,6,6,
NNS,members,6,6,
NNS,teachers,6,6,
NNS,levels,6,6,
NNS,olives,6,5,
JJS,earliest,6,6,
JJS,largest,6,6,
JJS,closest,6,6,
VB,require,6,5,
RBA,normally,6,6,pre
VB,describe,6,5,
VBG,having,6,6,
VBG,teaching,6,5,
VBZ,involves,6,6,
MD,shall,6,6,
JJ,russian,5,5,
JJ,rich,5,5,
JJ,upper,5,5,
JJ,cold,5,4,
JJ,dietary,5,5,
JJ,medical,5,5,
JJ,regular,5,4,
JJ,wild,5,4,
JJ,next,5,4,
JJ,biological,5,5,
JJ,local,5,5,
JJ,practical,5,5,
JJ,digestive,5,5,
JJ,tropical,5,5,
JJ,nonvolatile,5,4,
JJ,sufficient,5,5,
JJ,clear,5,5,
JJ,likely,5,4,
JJ,electronic,5,5,
JJ,sick,5,5,
JJ,last,5,5,
JJ,fresh,5,5,
JJ,african,5,5,
NN,farmer,5,5,
NN,manor,5,4,
NN,matter,5,5,
NN,advantage,5,5,
NN,friend,5,5,
NN,alcohol,5,5,
NN,dairy,5,5,
NN,protection,5,5,
NN,game,5,5,
NN,pain,5,5,
NN,oxygen,5,4,
NN,carbon,5,5,
NN,convenience,5,5,
NN,modernism,5,5,
NN,format,5,4,
NN,collection,5,5,
NN,item,5,5,
NN,industry,5,5,
NN,veal,5,4,
NN,wheel,5,5,
NN,line,5,5,
NN,space,5,5,
NN,baby,5,5,
NN,salt,5,5,
NN,tomato,5,4,
NN,biology,5,5,
NN,psychology,5,5,
NN,context,5,5,
NN,island,5,5,
NN,tree,5,5,
NN,organisation,5,5,
NN,adult,5,5,
NN,cycle,5,5,
NN,mother,5,5,
NN,photosynthesis,5,5,
NN,flesh,5,5,
NN,teacher,5,5,
NN,mass,5,5,
NN,reactor,5,5,
NN,fuel,5,5,
NN,garden,5,5,
VBD,got,5,4,
VBD,believed,5,4,
VBD,named,5,4,
VBD,caught,5,4,
VBD,reached,5,4,
VBD,divided,5,5,
VBD,removed,5,4,
VBD,lost,5,5,
VBD,controlled,5,4,
VBD,expected,5,4,
NNS,months,5,5,
NNS,rules,5,5,
NNS,players,5,5,
NNS,organs,5,5,
NNS,hours,5,5,
NNS,amounts,5,5,
NNS,environments,5,5,
NNS,paintings,5,5,
NNS,individuals,5,5,
NNS,lines,5,5,
NNS,acids,5,5,
NNS,varieties,5,5,
NNS,graphics,5,5,
NNS,codes,5,5,
NNS,actions,5,5,
NNS,programmers,5,5,
NNS,signals,5,4,
NNS,laptops,5,5,
NNS,resources,5,5,
NNS,layers,5,5,
NNS,mathematics,5,5,
NNS,projects,5,5,
NNS,shops,5,5,
NNS,sources,5,5,
NNS,huntergatherers,5,5,
NNS,governments,5,5,
NNS,potatoes,5,5,
NNS,trees,5,5,
NNS,relatives,5,5,
NNS,gorillas,5,5,
NNS,wars,5,5,
NNS,greens,5,5,
NNS,tomatoes,5,5,
NNS,councils,5,5,
VB,want,5,5,
RBP,automatically,5,5,post
VB,create,5,5,
VB,save,5,4,
VB,keep,5,4,
VB,prevent,5,4,
VB,develop,5,4,
VB,preserve,5,5,
VB,reach,5,5,
VBG,keeping,5,5,
VBG,creating,5,5,
VBG,becoming,5,5,
VBG,providing,5,5,
VBG,preserving,5,5,
VBZ,becomes,5,5,
VBZ,wants,5,5,
PRP$,her,5,5,
CD,eight,5,5,
RBR,faster,5,4,
JJR,lower,5,5,
NN,author,4,4,
VBD,grew,4,4,
PRP,itself,4,4,
VBD,affected,4,4,
VBD,banned,4,4,
VBD,adapted,4,4,
VBD,protected,4,4,
VBD,heated,4,4,
VBD,required,4,4,
VBD,cooked,4,4,
VBD,harvested,4,4,
VBD,elected,4,4,
NNS,items,4,4,
NNS,birds,4,4,
NNS,chickens,4,4,
NNS,organizations,4,4,
NNS,centuries,4,4,
NNS,drugs,4,4,
NNS,teeth,4,4,
NNS,gardens,4,4,
NNS,houses,4,4,
NNS,contents,4,4,
NNS,museums,4,4,
NNS,segments,4,4,
NNS,transistors,4,4,
NNS,powers,4,4,
NNS,units,4,4,
NNS,terms,4,4,
NNS,circuits,4,4,
NNS,drums,4,4,
NNS,tubes,4,4,
NNS,speakers,4,4,
NNS,preservatives,4,4,
NNS,muscles,4,4,
NNS,women,4,4,
NNS,issues,4,4,
NNS,bodies,4,4,
NNS,concerns,4,4,
NNS,symptoms,4,4,
NNS,populations,4,4,
NNS,signs,4,4,
NNS,babies,4,4,
NNS,degrees,4,4,
NNS,genetics,4,4,
NNS,arms,4,4,
NNS,mothers,4,4,
NNS,dishes,4,4,
NNS,albums,4,4,
NNS,beans,4,4,
NNS,reactors,4,4,
NNS,pests,4,4,
NNS,representatives,4,4,
RBP,properly,4,4,post
RBP,frequently,4,4,post
RBA,easily,4,4,pre
RBA,typically,4,4,pre
VB,paint,4,4,
VB,bring,4,4,
VB,avoid,4,4,
VB,click,4,4,
VB,carry,4,4,
VBGI,walking,4,4,
VBG,containing,4,4,
VBG,starting,4,4,
VBZ,gets,4,4,
CD,nine,4,4,
JJR,fewer,4,4,
VBD,painted,3,3,
PRP,himself,3,3,
VBD,pushed,3,3,
VBD,consumed,3,3,
VBD,selected,3,3,
VBD,modulated,3,3,
VBD,arranged,3,3,
VBD,obtained,3,3,
VBD,adjusted,3,3,
VBD,paid,3,3,
VBD,contaminated,3,3,
VBD,labelled,3,3,
VBD,established,3,3,
NNS,friends,3,3,
NNS,puppies,3,3,
NNS,leaders,3,3,
NNS,reports,3,3,
NNS,beasts,3,3,
NNS,songs,3,3,
NNS,wings,3,3,
NNS,farms,3,3,
NNS,regions,3,3,
NNS,companies,3,3,
NNS,connections,3,3,
NNS,molecules,3,3,
NNS,discoveries,3,3,
NNS,purposes,3,3,
NNS,supporters,3,3,
NNS,regulations,3,3,
NNS,bones,3,3,
NNS,eukaryotes,3,3,
NNS,habitats,3,3,
NNS,sculptures,3,3,
NNS,activities,3,3,
NNS,authors,3,3,
NNS,emotions,3,3,
NNS,flavors,3,3,
NNS,roles,3,3,
JJS,oldest,3,3,
JJS,biggest,3,3,
RBP,respectively,3,3,post
VB,remember,3,3,
VB,compare,3,3,
VB,calculate,3,3,
VBG,drawing,3,3,
VBG,leading,3,3,
VBG,studying,3,3,
VBG,leaving,3,3,
VBG,harvesting,3,3,
VBZ,carries,3,3,
VBZ,dates,3,3,
JJR,greater,3,3,
IN,behind,2,2,
VBD,felt,2,2,
VBD,shaped,2,2,
VBZI,begins,2,2,
VBDI,came,7,7,
VBD,discarded,2,2,
VBD,figured,2,2,
VBD,supported,2,2,
VBD,played,2,2,
PRP,me,2,2,
VBD,viewed,2,2,
VBD,watched,2,2,
VBD,grouped,2,2,
VBD,shared,2,2,
VBD,bought,2,2,
VBD,identified,2,2,
VBD,prevented,2,2,
VBD,located,2,2,
VBD,fixed,2,2,
VBD,finished,2,2,
VBD,carried,2,2,
VBD,distributed,2,2,
VBD,programmed,2,2,
VBD,scanned,2,2,
VBD,designed,2,2,
VBD,operated,2,2,
VBD,salted,2,2,
VBD,cured,2,2,
VBD,improved,2,2,
VBD,covered,2,2,
VBD,confirmed,2,2,
VBD,originated,2,2,
VBD,picked,2,2,
VBD,defined,2,2,
VBD,employed,2,2,
VBD,damaged,2,2,
VBD,handled,2,2,
VBD,heard,2,2,
JJS,strongest,2,2,
JJS,smallest,2,2,
JJS,highest,2,2,
JJS,lowest,2,2,
VBI,evaporate,0,0,
VB,tend,2,2,
VB,infect,2,2,
VB,regulate,2,2,
RBP,constantly,2,2,post
RBP,publicly,2,2,post
RBP,regularly,2,2,post
RBP,independently,2,2,post
RBP,immediately,2,2,post
RBP,eventually,2,2,post
RBP,naturally,2,2,post
RBP,precisely,2,2,post
RBP,virtually,2,2,post
RBA,notably,2,2,pre
RBA,rarely,2,2,pre
RBA,recently,2,2,pre
VBI,evaporated,0,0,
VBZI,evaporates,1,1,
VBGI,evaporating,0,0,
VBI,exist,0,0,
VBGI,existing,0,0,
VBZI,exists,1,1,
VBGI,falling,0,0,
VBDI,fell,2,2,
VBDI,flowed,0,0,
VBGI,flowing,0,0,
VBZI,flows,1,1,
VBI,happen,2,2,
VBDI,happened,0,0,
VBGI,happening,0,0,
VBZI,happens,0,0,
VBDI,hid,0,0,
VBI,hide,0,0,
VBZI,hides,1,1,
VBGI,hiding,0,0,
VB,raise,2,2,
VB,receive,2,2,
VB,detect,2,2,
VB,steal,2,2,
VB,execute,2,2,
VB,install,2,2,
VB,weave,2,2,
VB,replace,2,2,
VB,prepare,2,2,
VBZI,lasts,2,2,
VB,manage,2,2,
VB,resist,2,2,
VB,fix,2,2,
VB,seek,2,2,
VB,protest,2,2,
VB,pass,2,2,
VB,reduce,2,2,
VB,collect,2,2,
VBG,seeing,2,2,
VBG,supporting,2,2,
VBG,helping,2,2,
VBZ,blames,2,2,
VBI,lie,0,0,
VBDI,lied,0,0,
VBZI,lies,2,2,
VBI,listen,2,2,
VBDI,listened,0,0,
VBGI,listening,0,0,
VBZI,listens,0,0,
VBGI,lying,0,0,
VBZ,owns,2,2,
VBZ,arranges,2,2,
VBZ,holds,2,2,
VBI,occur,0,0,
VBGI,occuring,0,0,
VBDI,occurred,0,0,
VBZI,occurs,2,2,
VBDI,panicked,0,0,
VBZ,requires,2,2,
VBZ,generates,2,2,
VBZ,supports,2,2,
VBZ,suggests,2,2,
VBZ,believes,2,2,
VBZ,violates,2,2,
VBZ,protects,2,2,
VBZI,panics,0,0,
VBZ,follows,2,2,
WP,whom,2,2,
PRP$,my,2,2,
CD,seven,2,2,
NNP,september,2,2,
NNP,xerox,2,2,
WDT,whatever,2,2,
RBR,closer,2,2,
JJR,wider,2,2,
JJR,broader,2,2,
JJR,cheaper,2,2,
JJR,younger,2,2,
IN,amongst,1,1,
IN,beside,1,1,
JJ,supreme,1,1,
JJ,dull,1,1,
JJ,yellow,1,1,
NN,newspaper,1,1,
NN,lecturer,1,1,
NN,peanut,1,1,
NN,butter,1,1,
NN,eggplant,1,1,
VBD,struck,1,1,
VBD,overthrew,1,1,
VBD,disliked,1,1,
VBD,declared,1,1,
VBDI,peaked,1,1,
VBD,stylized,1,1,
VBD,rediscovered,1,1,
VBD,mentioned,1,1,
VBD,edited,1,1,
VBD,hunted,1,1,
PRP,herself,1,1,
PRP,yourself,1,1,
VBD,betrayed,1,1,
VBD,rejected,1,1,
VBD,fed,1,1,
VBD,purchased,1,1,
VBD,cloned,1,1,
VBD,checked,1,1,
VBD,threatened,1,1,
VBD,endangered,1,1,
VBD,injured,1,1,
VBD,judged,1,1,
VBD,inspired,1,1,
VBD,contacted,1,1,
VBD,butchered,1,1,
VBD,saved,1,1,
VBD,blamed,1,1,
VBI,relax,0,0,
VBD,manufactured,1,1,
VBD,eliminated,1,1,
VBD,tolerated,1,1,
VBD,stopped,1,1,
VBD,worshiped,1,1,
VBD,sandwiched,1,1,
VBD,owned,1,1,
VBD,documented,1,1,
NNS,passwords,1,1,
NNS,ants,1,1,
NNS,turnips,1,1,
NNS,holidays,1,1,
NNS,pumpkins,1,1,
NNS,conversations,1,1,
NNS,requests,1,1,
NNS,complaints,1,1,
NNS,decisions,1,1,
NNS,conflicts,1,1,
NNS,participants,1,1,
NNS,candidates,1,1,
NNS,sports,1,1,
NNS,teams,1,1,
NNS,unions,1,1,
NNS,secrets,1,1,
NNS,lamps,1,1,
NNS,eggplants,1,1,
NNS,peppers,1,1,
NNS,desserts,1,1,
CC,pitcher,1,1,
CC,nor,1,1,
CC,lock,1,1,
JJS,stupidest,1,1,
JJS,fastest,1,1,
JJS,finest,1,1,
JJS,broadest,1,1,
JJS,shortest,1,1,
JJS,youngest,1,1,
JJS,simplest,1,1,
JJS,strictest,1,1,
JJS,latest,1,1,
JJS,nearest,1,1,
JJS,easiest,1,1,
JJS,fattiest,1,1,
JJS,greatest,1,1,
JJS,newest,1,1,
VB,invade,1,1,
VB,praise,1,1,
VB,enjoy,1,1,
VB,appreciate,1,1,
VB,inlcude,1,1,
VB,replicate,1,1,
VB,repair,1,1,
VB,criticise,1,1,
VB,contaminate,1,1,
VB,categorize,1,1,
VB,dominate,1,1,
VB,overtook,1,1,
VB,identify,1,1,
VB,govern,1,1,
VB,climb,1,1,
VB,accept,1,1,
VB,assist,1,1,
VB,organise,1,1,
VB,lose,1,1,
RBP,occasionally,1,1,post
RBP,blindly,1,1,post
RBP,annually,1,1,post
RBP,poorly,1,1,post
RBP,carefully,1,1,post
RBA,seldom,1,1,pre
RBA,suddenly,1,1,pre
RBP,peacefully,1,1,post
RBP,dramatically,1,1,post
VB,chase,1,1,
VB,select,1,1,
VB,check,1,1,
VB,abandon,1,1,
VB,consume,1,1,
VB,assess,1,1,
VB,review,1,1,
VB,misguide,1,1,
VB,breathe,1,1,
VB,overthrow,1,1,
VB,challenge,1,1,
VB,join,1,1,
